,time,open,close,high,low,volume
0,1545589440000,5890.0,5890.0,5890.0,5890.0,0.0066666
1,1546002060000,5840.0,5840.0,5840.0,5840.0,0.005
2,1546002120000,3460.9,3460.9,3460.9,3460.9,0.00499
3,1546627620000,3503.0,3503.0,3503.0,3503.0,0.065868
4,1546980960000,5600.0,5600.0,5600.0,5600.0,0.008
5,1546982940000,5540.0,5560.0,5560.0,5540.0,0.01445567
6,1546983000000,6000.0,6000.0,6000.0,6000.0,0.02
7,1546984080000,6000.0,6000.0,6000.0,6000.0,0.008
8,1546985340000,6000.0,6000.0,6000.0,6000.0,0.009000000000000001
9,1547053440000,6000.0,6000.0,6000.0,6000.0,0.0085
10,1547054160000,5000.0,5000.0,5000.0,5000.0,0.01
11,1547132100000,3666.0,3666.0,3666.0,3666.0,1.195e-05
12,1547278680000,3667.0,3667.0,3667.0,3667.0,0.0067
13,1547309940000,4888.0,4888.0,4888.0,4888.0,0.002
14,1547546040000,4888.0,4888.0,4888.0,4888.0,0.01
15,1547546100000,4888.0,5000.0,5000.0,4888.0,0.05
16,1547622000000,4988.0,4988.0,4988.0,4988.0,0.00806726
17,1547638980000,3420.0,3400.0,3420.0,3400.0,0.06970067
18,1547648880000,3400.1,3400.1,3400.1,3400.1,0.002
19,1547670660000,3401.0,3401.0,3401.0,3401.0,0.029825
20,1547741220000,3800.0,3800.0,3800.0,3800.0,0.0035
21,1547831340000,4888.0,4888.0,4888.0,4888.0,0.004137
22,1547832360000,3450.0,3450.0,3450.0,3450.0,0.00413286
23,1547832960000,4888.0,4888.0,4888.0,4888.0,0.0025
24,1548008580000,3410.5,3410.5,3410.5,3410.5,0.01987635
25,1548116100000,4640.0,4640.0,4640.0,4640.0,0.002
26,1548116400000,3409.5,3409.5,3409.5,3409.5,0.002
27,1548226620000,4596.8,4620.0,4620.0,4596.8,0.02
28,1548226680000,4620.0,4620.0,4620.0,4620.0,0.04
29,1548323340000,3415.5,3415.5,3415.5,3415.5,0.01908689
30,1548531420000,4498.0,4498.0,4498.0,4498.0,0.004
31,1548531480000,3610.0,3610.0,3610.0,3610.0,0.003992
32,1548532020000,3610.0,3610.0,3610.0,3610.0,0.00398801
33,1548584820000,3610.0,3610.0,3610.0,3610.0,0.002
34,1548585840000,3610.0,3610.0,3610.0,3610.0,0.00840614
35,1548587040000,3610.0,3610.0,3610.0,3610.0,0.00419529
36,1548622260000,4412.0,3421.0,4412.9,3421.0,0.05439367
37,1548655260000,3999.8,3999.8,3999.8,3999.8,0.0027511
38,1548787980000,3402.1,3301.0,3402.1,3301.0,0.04298516
39,1548808200000,3401.0,3401.0,3401.0,3401.0,0.002
40,1548838140000,3914.8,3914.8,3914.8,3914.8,0.01
41,1548843300000,3600.0,3600.0,3600.0,3600.0,0.002
42,1549063560000,3500.0,3500.0,3500.0,3500.0,0.007389199999999999
43,1549146360000,3301.0,3301.0,3301.0,3301.0,0.0027456
44,1549740660000,3896.0,3920.0,3920.0,3896.0,0.013000000000000001
45,1549741740000,3914.1,3914.1,3914.1,3914.1,0.053
46,1549742520000,3904.2,3904.2,3904.2,3904.2,0.013999999999999999
47,1549812420000,3317.6,3317.6,3317.6,3317.6,0.03
48,1549812480000,3780.3,3317.6,3780.3,3317.6,0.052000000000000005
49,1549840560000,3500.0,3500.0,3500.0,3500.0,0.003996
50,1549929120000,3902.9,3902.9,3902.9,3902.9,0.0021
51,1550014440000,3840.0,3840.0,3840.0,3840.0,0.002
52,1550014500000,3700.0,3700.0,3700.0,3700.0,0.01
53,1550092560000,3895.0,3902.9,3902.9,3895.0,0.01405096
54,1550092800000,3903.0,3955.3,3955.3,3903.0,0.06425327
55,1550097540000,4248.0,4248.0,4248.0,4248.0,0.002
56,1550311320000,4180.0,4180.0,4180.0,4180.0,0.001
57,1550316300000,4618.7,4618.7,4618.7,4618.7,0.00210183
58,1550409540000,4575.0,4575.0,4575.0,4575.0,0.002
59,1550488980000,3610.4,3610.4,3610.4,3610.4,0.01997999
60,1550511600000,4282.0,4299.9,4299.9,4282.0,0.027578440000000003
61,1550522220000,4259.0,4299.9,4299.9,4259.0,0.1
62,1550522280000,4299.9,4500.0,4500.0,4299.9,0.2021839
63,1550797620000,3633.0,3621.0,3633.0,3621.0,0.02202341
64,1550798100000,4040.0,4040.0,4040.0,4040.0,0.002
65,1550798460000,4038.0,4038.0,4038.0,4038.0,0.002
66,1550887080000,4200.0,4200.0,4200.0,4200.0,0.0024
67,1550896080000,4200.0,4300.0,4300.0,4200.0,0.01756
68,1550896200000,4439.0,4439.0,4439.0,4439.0,0.10679095
69,1551105480000,4001.4,4001.5,4001.5,4001.4,0.18152097
70,1551159660000,4249.0,4249.0,4249.0,4249.0,0.005
71,1551159720000,4249.0,4450.0,4450.0,4249.0,0.056960000000000004
72,1551514680000,4150.0,4180.0,4180.0,4150.0,0.01031
73,1551515700000,4180.0,4350.0,4350.0,4180.0,0.04369
74,1551515820000,4349.0,4349.0,4349.0,4349.0,0.023739
75,1551627060000,3634.0,3634.0,3634.0,3634.0,0.01
76,1551695460000,3800.0,3800.0,3800.0,3800.0,0.01
77,1551707700000,3801.0,3801.0,3801.0,3801.0,0.00404013
78,1551708000000,3801.0,3801.0,3801.0,3801.0,0.00479211
79,1551708060000,3801.0,3801.0,3801.0,3801.0,0.00356281
80,1551717360000,3800.0,3800.0,3800.0,3800.0,0.00286884
81,1551745860000,4110.0,3650.0,4200.0,3650.0,0.06
82,1551921780000,3970.0,3970.0,3970.0,3970.0,0.00803804
83,1551929820000,3970.0,3970.0,3970.0,3970.0,0.00196196
84,1551978900000,3976.0,3976.0,3976.0,3976.0,0.01
85,1552033440000,4005.0,4200.0,4200.0,4005.0,0.1
86,1552264680000,4148.0,4148.0,4148.0,4148.0,0.0143
87,1552264740000,3814.0,3814.0,3814.0,3814.0,0.0142857
88,1552709880000,4099.9,4100.0,4100.0,4099.9,0.00998991
89,1552710060000,4100.0,4100.0,4100.0,4100.0,0.00393394
90,1552711200000,4100.0,4100.0,4100.0,4100.0,5.09e-06
91,1553302440000,3873.7,3873.7,3873.7,3873.7,0.002
92,1553380080000,4100.0,4300.0,4300.0,4100.0,0.06580052
93,1553380140000,3873.8,3874.1,4775.0,3873.8,0.65807992
94,1553380260000,4825.0,3874.4,5125.0,3874.2,0.35180025
95,1553440020000,4012.9,4012.9,4012.9,4012.9,0.02
96,1554070560000,4112.5,4112.5,4112.5,4112.5,0.00366578
97,1554180540000,4500.0,4500.0,4500.0,4500.0,0.01
98,1554182520000,5000.0,5000.0,5000.0,5000.0,0.00508563
99,1554189840000,4681.3,4681.3,4681.3,4681.3,0.002
100,1554320400000,5102.5,5102.5,5102.5,5102.5,0.002
101,1554685560000,5240.0,5240.0,5240.0,5240.0,0.00204164
102,1554730080000,5499.9,5499.9,5499.9,5499.9,0.002
103,1554900660000,5185.7,5185.7,5185.7,5185.7,0.05349203
104,1555126140000,5100.0,5100.0,5100.0,5100.0,0.002
105,1555141740000,5185.7,5185.7,5185.7,5185.7,0.00126
106,1555143900000,5335.0,5488.0,5488.0,5335.0,0.006
107,1555269900000,5380.0,5489.9,5489.9,5380.0,0.003
108,1555512060000,5460.0,5488.9,5488.9,5460.0,0.006
109,1555993380000,5500.0,5500.0,5500.0,5500.0,0.01
110,1556021160000,5718.0,5747.9,5747.9,5718.0,0.00649994
111,1556021280000,4426.0,4426.0,4426.0,4426.0,0.00648694
112,1556223540000,5640.0,5900.0,5900.0,5640.0,0.04355006
113,1556223780000,4503.6,4503.6,4503.6,4503.6,0.04346296
114,1556270280000,5989.0,6400.0,6400.0,5989.0,0.44389189
115,1556270580000,4551.0,4551.0,4551.0,4551.0,0.15000000000000002
116,1556270640000,4551.0,4551.0,4551.0,4551.0,0.05
117,1556450580000,5500.0,5500.0,5500.0,5500.0,0.00180604
118,1556852280000,5800.0,5800.0,5800.0,5800.0,0.00345181
119,1556859360000,5800.0,5800.0,5800.0,5800.0,0.00454818
120,1556864580000,5800.0,5800.0,5800.0,5800.0,1e-08
121,1556898720000,6100.0,6100.0,6100.0,6100.0,0.00304031
122,1556900040000,5110.0,5110.0,5110.0,5110.0,0.00303423
123,1556934840000,6100.0,6100.0,6100.0,6100.0,0.00392505
124,1556934900000,6100.0,6350.0,6350.0,6100.0,0.00103789
125,1557148200000,6349.9,6349.9,6349.9,6349.9,0.0008
126,1557273600000,6077.7,6077.7,6077.7,6077.7,0.01230956
127,1557318420000,5168.7,5168.7,5168.7,5168.7,0.001996
128,1557356880000,5987.3,5987.3,5987.3,5987.3,0.001284
129,1557364260000,6348.0,6348.0,6348.0,6348.0,0.01
130,1557471960000,6350.0,6350.0,6350.0,6350.0,0.007991
131,1557473040000,6350.0,6350.0,6350.0,6350.0,5.75e-06
132,1557555780000,6730.0,6800.0,6800.0,6730.0,0.009000000000000001
133,1557578400000,7098.8,7099.0,7099.0,7098.8,0.03079636
134,1557614040000,7100.0,7100.0,7100.0,7100.0,0.008
135,1557760080000,7498.0,7498.0,7498.0,7498.0,0.007995
136,1557760140000,7498.0,7500.0,7500.0,7498.0,0.024505000000000002
