,time,open,close,high,low,volume
0,1545467460000,0.00060889,0.00060889,0.00060889,0.00060889,21740.0
1,1545477360000,0.00060889,0.00062,0.00062,0.00060889,50000.0
2,1545523080000,0.00051156,0.00051156,0.00051156,0.00051156,21969.0
3,1545576360000,0.00053115,0.00053061,0.00053115,0.00053061,125418.83212289998
4,1545576420000,0.0005222,0.0004536,0.0005222,0.0004536,619104.36463862
5,1545576480000,0.00045359,0.0004535,0.00045359,0.0004535,80822.60198456
6,1545577200000,0.00043755,0.00043356,0.00043755,0.00043356,37723.97852896
7,1545584100000,0.00054385,0.00054385,0.00054385,0.00054385,62517.23820906
8,1545612300000,0.00054384,0.00054385,0.00054385,0.00054384,165004.72321964
9,1545644940000,0.00061605,0.00061605,0.00061605,0.00061605,35000.0
10,1545647340000,0.00061605,0.00061605,0.00061605,0.00061605,21740.0
11,1545666780000,0.00058964,0.00058964,0.00058964,0.00058964,57468.18857142
12,1545667320000,0.00058905,0.00058905,0.00058905,0.00058905,22000.0
13,1545684840000,0.00058905,0.00058905,0.00058905,0.00058905,36335.0
14,1545707760000,0.00058905,0.00058905,0.00058905,0.00058905,210803.57292499
15,1545722160000,0.00058905,0.00058905,0.00058905,0.00058905,48000.0
16,1545776760000,0.0006,0.00063,0.00063,0.0006,101185.96264262
17,1545776820000,0.00063979,0.00066582,0.00066582,0.00063979,420999.07172347
18,1545874260000,0.00059225,0.0005922000000000001,0.00059225,0.0005922000000000001,31795.89606041
19,1545917760000,0.0005922000000000001,0.0005916000000000001,0.0005922000000000001,0.0005916000000000001,55953.54698406
20,1545918720000,0.0005916000000000001,0.00058905,0.0005916000000000001,0.00058905,198685.31
21,1545921480000,0.00058905,0.00058905,0.00058905,0.00058905,542338.68860279
22,1545923520000,0.00058905,0.00058905,0.00058905,0.00058905,295.5750125
23,1546002900000,0.00049,0.00049,0.00049,0.00049,114400.0
24,1546087800000,0.000615,0.00066582,0.00066582,0.000615,514331.45691073
25,1546326360000,0.0007199,0.00071991,0.00071991,0.0007199,64207.76216252
26,1546326420000,0.00071991,0.00071991,0.00071991,0.00071991,13426.027599500001
27,1546329960000,0.0007599999999999999,0.0007599999999999999,0.0007599999999999999,0.0007599999999999999,885269.9722202
28,1546374600000,0.00091595,0.00091599,0.00091599,0.00091595,96314.4328104
29,1546374840000,0.0005849000000000001,0.0005849000000000001,0.0005849000000000001,0.0005849000000000001,96121.80394478
30,1546701180000,0.00088862,0.00088862,0.00088862,0.00088862,22000.0
31,1546816500000,0.00061588,0.0006020999999999999,0.00061588,0.0006020999999999999,74893.81127191
32,1546930140000,0.00061555,0.00061213,0.00061555,0.00061213,200201.598
33,1546942680000,0.00084831,0.00084831,0.00084831,0.00084831,22000.0
34,1546975560000,0.00084831,0.0008820000000000001,0.0008820000000000001,0.00084831,21900.0
35,1547055780000,0.00075,0.00075,0.00075,0.00075,25000.0
36,1547124360000,0.00073999,0.00073999,0.00073999,0.00073999,32809.0
37,1547131800000,0.00062331,0.00062331,0.00062331,0.00062331,59219.723
38,1547183160000,0.00062331,0.00062331,0.00062331,0.00062331,34031.15160493
39,1547505180000,0.00073361,0.00073361,0.00073361,0.00073361,25000.0
40,1547505420000,0.000797,0.0007999,0.0007999,0.000797,60000.0
41,1547505540000,0.00062971,0.00062828,0.00062971,0.00062828,72239.08083866001
42,1547682840000,0.00056782,0.00056782,0.00056782,0.00056782,32633.40625501
